"","Ref","OxygenCons","Weight","Temperature","SpecCode","MetabolicLevel","AppliedStress","OxygenRefNo","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"1","fishbase",4.43116,0.047,25,2,"standard","none specified",85173,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"2","fishbase",15.64066,0.047,25,2,"standard","none specified",85173,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"3","fishbase",20.1402,0.07515,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"4","fishbase",7.161,0.077,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"5","fishbase",16.962,0.0771,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"6","fishbase",8.32,0.08,25,2,"standard","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"7","fishbase",10.72,0.08,25,2,"standard","none specified",2203,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"8","fishbase",19.86374,0.08042,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"9","fishbase",24.60852,0.08042,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"10","fishbase",16.44934,0.08266,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"11","fishbase",22.15288,0.08266,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"12","fishbase",14.51297,0.08389,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"13","fishbase",17.95246,0.08389,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"14","fishbase",19.45596,0.08884,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"15","fishbase",24.8752,0.08884,25,2,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"16","fishbase",17.639,0.31,26,2,"standard","none specified",5593,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"17","fishbase",29.14,0.31,26,2,"routine","none specified",5593,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis niloticus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"18","fishbase",0.01323,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"19","fishbase",0.01775,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"20","fishbase",0.02159,1e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"21","fishbase",0.01818,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"22","fishbase",0.02439,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"23","fishbase",0.04392,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"24","fishbase",0.04845,3e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"25","fishbase",0.02676,4e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"26","fishbase",0.03256,4e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"27","fishbase",0.03695,5e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"28","fishbase",0.0633,5e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"29","fishbase",0.05664,6e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"30","fishbase",0.07936,8e-05,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"31","fishbase",0.07392,0.00011,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"32","fishbase",0.10934,0.00011,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"33","fishbase",0.1569,0.00015,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"34","fishbase",0.20664,0.00024,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"35","fishbase",0.15886,0.00026,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"36","fishbase",0.21022,0.00046,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"37","fishbase",0.32844,0.00051,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"38","fishbase",0.42366,0.00069,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"39","fishbase",0.51452,0.00076,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"40","fishbase",0.3818,0.00092,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"41","fishbase",0.7222,0.00092,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"42","fishbase",0.29904,0.00112,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"43","fishbase",0.72352,0.00112,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"44","fishbase",0.402,0.0015,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"45","fishbase",0.56682,0.00201,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"46","fishbase",1.1826,0.0027,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"47","fishbase",1.3716,0.0027,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"48","fishbase",0.56918,0.00298,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"49","fishbase",0.92496,0.00328,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"50","fishbase",1.37104,0.00328,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"51","fishbase",0.76209,0.00399,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"52","fishbase",1.1271,0.0051,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"53","fishbase",1.24696,0.00872,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"54","fishbase",1.37,0.01,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"55","fishbase",1.01,0.0101,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"56","fishbase",2.0298,0.0102,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"57","fishbase",3.2436,0.0102,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"58","fishbase",3.045,0.0105,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"59","fishbase",2.5652,0.0106,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"60","fishbase",2.0352,0.0106,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
